epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,17818.9,1.3526,0.65808,0.95704,0.84936,0.58954,0.67341,0.37056,1.34904,0.60569,0.97942,0.0017378,0.0017378,0.0017378
90,18019.2,1.36013,0.65862,0.95608,0.84955,0.58957,0.67351,0.37061,1.3491,0.60548,0.97942,0.00164264,0.00164264,0.00164264
91,18219.4,1.35032,0.655,0.95783,0.8505,0.58943,0.67367,0.37057,1.34915,0.60538,0.97939,0.00154982,0.00154982,0.00154982
92,18419.6,1.34119,0.6489,0.95732,0.85014,0.58917,0.67369,0.37071,1.34902,0.60505,0.97929,0.0014594,0.0014594,0.0014594
93,18619.4,1.34581,0.65026,0.95595,0.84998,0.58927,0.67367,0.37083,1.34892,0.60475,0.97927,0.00137143,0.00137143,0.00137143
94,18819.2,1.3412,0.65109,0.95544,0.851,0.58929,0.67413,0.37097,1.34876,0.60438,0.97923,0.00128599,0.00128599,0.00128599
95,19019.6,1.33435,0.64541,0.95362,0.85083,0.58906,0.67392,0.37096,1.3489,0.60419,0.97923,0.00120313,0.00120313,0.00120313
96,19220,1.33728,0.64803,0.95338,0.85083,0.58861,0.67384,0.37098,1.34869,0.60407,0.97919,0.0011229,0.0011229,0.0011229
97,19419.7,1.32862,0.6417,0.95301,0.84972,0.58947,0.67402,0.37109,1.34892,0.6036,0.97919,0.00104537,0.00104537,0.00104537
98,19620.1,1.336,0.64242,0.95303,0.8501,0.58949,0.67443,0.37119,1.34899,0.60355,0.97918,0.000970575,0.000970575,0.000970575
99,19820.5,1.33753,0.64462,0.95269,0.85111,0.58939,0.6744,0.37113,1.34916,0.60341,0.97921,0.000898581,0.000898581,0.000898581
100,20019.2,1.32569,0.63774,0.95183,0.85068,0.58959,0.67466,0.37132,1.34923,0.6033,0.97918,0.000829431,0.000829431,0.000829431
101,20218.1,1.32819,0.64052,0.9534,0.85219,0.58919,0.67467,0.37127,1.34926,0.60313,0.97918,0.000763174,0.000763174,0.000763174
102,20418.9,1.33196,0.64215,0.95111,0.85097,0.58992,0.67502,0.37135,1.34936,0.60324,0.9792,0.000699855,0.000699855,0.000699855
103,20618.9,1.32709,0.64027,0.95123,0.85059,0.58992,0.67484,0.37142,1.34938,0.60308,0.97925,0.000639518,0.000639518,0.000639518
104,20819,1.32043,0.63291,0.9502,0.85091,0.58982,0.67501,0.37148,1.34946,0.60295,0.9793,0.000582203,0.000582203,0.000582203
105,21018.4,1.32486,0.63804,0.95051,0.85096,0.58986,0.67498,0.37161,1.34941,0.60271,0.97929,0.00052795,0.00052795,0.00052795
106,21217.7,1.32384,0.63317,0.94982,0.85059,0.58992,0.67519,0.37158,1.34949,0.60262,0.97936,0.000476796,0.000476796,0.000476796
107,21417.2,1.31971,0.63266,0.94747,0.85203,0.58977,0.67544,0.37174,1.34956,0.60256,0.97945,0.000428777,0.000428777,0.000428777
